Token id,X,Y,Collect every X days,Repair when conditions is X,Speed up,Network
11895,18,10,7,98,no,trx
15642,351,493,7,98,no,trx
16183,338,455,7,98,no,trx
10955,319,361,7,98,no,trx
6981,255,130,7,98,no,trx
16298,387,459,7,98,no,trx
16137,342,460,7,98,no,trx
6360,115,28,14,98,no,trx
5653,114,29,7,98,no,trx
6350,119,28,14,98,no,trx
5820,115,29,7,98,no,trx
2427,132,138,7,98,no,trx
2318,131,138,7,98,no,trx
2366,142,127,7,98,no,trx
5670,114,28,7,98,no,trx
6349,119,29,7,98,no,trx
6347,120,28,2,86,no,trx
